iter	Passed	Remaining
186	2293	3839
187	2305	3825
188	2316	3811
189	2327	3797
190	2338	3783
191	2350	3770
192	2362	3757
193	2373	3743
194	2384	3729
195	2396	3716
196	2407	3703
197	2419	3689
198	2430	3676
199	2442	3663
200	2453	3649
201	2465	3636
202	2476	3622
203	2487	3608
204	2498	3595
205	2509	3581
206	2520	3567
207	2532	3554
208	2543	3541
209	2555	3528
210	2566	3515
211	2578	3502
212	2589	3488
213	2600	3475
214	2612	3462
215	2624	3450
216	2636	3437
217	2647	3425
218	2659	3412
219	2671	3399
220	2682	3385
221	2693	3372
222	2704	3359
223	2716	3347
224	2728	3334
225	2739	3321
226	2751	3308
227	2762	3295
228	2773	3282
229	2785	3269
230	2796	3256
231	2807	3243
232	2818	3230
233	2830	3217
234	2841	3203
235	2852	3191
236	2864	3178
237	2875	3165
238	2886	3152
239	2898	3140
240	2910	3127
241	2921	3114
242	2932	3101
243	2944	3089
244	2955	3076
245	2967	3063
246	2978	3051
247	2989	3037
248	3001	3025
249	3012	3012
250	3024	3000
251	3035	2987
252	3047	2975
253	3058	2962
254	3070	2949
255	3081	2937
256	3093	2924
257	3104	2912
258	3116	2900
259	3128	2887
260	3139	2875
261	3151	2862
262	3163	2850
263	3174	2838
264	3186	2825
265	3197	2813
266	3209	2800
267	3221	2788
268	3232	2776
269	3244	2763
270	3256	2751
271	3268	2739
272	3281	2728
273	3294	2717
274	3308	2706
275	3321	2695
276	3335	2685
277	3349	2674
278	3361	2662
279	3373	2650
280	3384	2637
281	3396	2625
282	3408	2613
283	3419	2600
284	3430	2588
285	3442	2575
286	3453	2563
287	3465	2551
288	3476	2538
289	3487	2525
290	3499	2513
291	3511	2501
292	3523	2489
293	3534	2476
294	3546	2464
295	3558	2452
296	3570	2440
297	3581	2427
298	3593	2415
299	3604	2403
300	3616	2390
301	3628	2378
302	3639	2366
303	3651	2354
304	3662	2341
305	3674	2329
306	3685	2316
307	3696	2304
308	3708	2292
309	3720	2280
310	3731	2267
311	3743	2255
312	3754	2242
313	3765	2230
314	3777	2218
315	3789	2206
316	3801	2194
317	3812	2181
318	3824	2169
319	3835	2157
320	3847	2145
321	3859	2133
322	3871	2121
323	3882	2109
324	3893	2096
325	3905	2084
326	3917	2072
327	3929	2060
328	3940	2048
329	3952	2036
330	3964	2024
331	3975	2011
332	3986	1999
333	3998	1987
334	4010	1975
335	4021	1963
336	4033	1950
337	4044	1938
338	4055	1926
339	4067	1914
340	4078	1901
341	4090	1889
342	4101	1877
343	4113	1865
344	4124	1852
345	4136	1841
346	4148	1829
347	4159	1816
348	4171	1804
349	4182	1792
350	4194	1780
351	4206	1768
352	4218	1756
353	4229	1744
354	4240	1732
355	4252	1720
356	4263	1707
357	4275	1695
358	4287	1683
359	4298	1671
360	4309	1659
361	4321	1647
362	4332	1635
363	4346	1623
364	4361	1612
365	4374	1601
366	4388	1590
367	4401	1578
368	4414	1567
369	4426	1555
370	4437	1543
371	4448	1530
372	4460	1518
373	4471	1506
374	4483	1494
375	4495	1482
376	4507	1470
377	4518	1458
378	4530	1446
379	4541	1434
380	4553	1422
381	4565	1410
382	4576	1397
383	4587	1385
384	4599	1373
385	4610	1361
386	4622	1349
387	4633	1337
388	4644	1325
389	4655	1313
390	4667	1301
391	4678	1289
392	4690	1276
393	4701	1264
394	4712	1252
395	4724	1240
396	4734	1228
397	4746	1216
398	4758	1204
399	4770	1192
400	4782	1180
401	4793	1168
402	4805	1156
403	4817	1144
404	4831	1133
405	4845	1121
406	4859	1110
407	4873	1098
